player_name,team,season,Primary_Position,minutes_played,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_misc_Fld,Performance_misc_Off,Gls90,Ast90,G_minus_PK90,G_plus_A_minus_PK90,Fld90,Off90,Crosses90,PCA_raw,Offensive_Score,Rank
João Cancelo,Barcelona,2025-2026,DF,954,2,2,4,2,14,4,0.18867924528301888,0.18867924528301888,0.18867924528301888,0.34412952838300365,1.3207547169811322,0.37735849056603776,2.9245283018867925,3.643251365537965,100.0,1
Héctor Fort,Elche,2025-2026,DF,482,2,2,4,2,1,2,0.22613780025284402,0.25583130097670803,0.22613780025284402,0.34412952838300365,0.18672199170124482,0.37344398340248963,1.4937759336099585,3.0637133447242273,99.33333333333333,2
Alfonso Pedraza,Villarreal,2025-2026,DF,1689,1,3,4,1,23,4,0.05328596802841919,0.15985790408525755,0.05328596802841919,0.21314387211367675,1.2255772646536414,0.21314387211367675,4.476021314387212,2.347274886460873,98.66666666666667,3
Nahuel Molina,Atlético Madrid,2025-2026,DF,1331,2,2,4,2,5,5,0.135236664162284,0.135236664162284,0.135236664162284,0.270473328324568,0.33809166040571,0.33809166040571,3.313298271975958,2.2456852432771353,98.0,4
Alfonso Espino,Rayo Vallecano,2025-2026,DF,1486,2,0,2,2,30,10,0.12113055181695827,0.0,0.12113055181695827,0.12113055181695827,1.816958277254374,0.4260615272775327,2.9676985195154777,2.1675900854595933,97.33333333333334,5
Trent Alexander-Arnold,Real Madrid,2025-2026,DF,1163,0,4,4,0,5,0,0.0,0.25583130097670803,0.0,0.30954428202923473,0.3869303525365434,0.0,5.119190324964488,1.9554921903571716,96.66666666666667,6
Aitor Ruibal,Real Betis,2025-2026,DF,1808,4,2,6,4,25,1,0.19911504424778761,0.09955752212389381,0.19911504424778761,0.29867256637168144,1.2444690265486726,0.049778761061946904,1.543141592920354,1.920464468218012,96.0,7
Thierry Correia,Valencia,2025-2026,DF,1392,0,2,2,0,25,4,0.0,0.12931034482758622,0.0,0.12931034482758622,1.6163793103448276,0.25862068965517243,2.7155172413793105,1.7431404215544088,95.33333333333334,8
Sergi Cardona,Villarreal,2025-2026,DF,1970,1,4,5,1,23,1,0.04568527918781726,0.18274111675126903,0.04568527918781726,0.22842639593908629,1.0507614213197969,0.04568527918781726,3.4263959390862944,1.724651129017873,94.66666666666667,9
Sergio Gómez,Real Sociedad,2025-2026,DF,2701,0,6,6,0,15,4,0.0,0.19992595335061086,0.0,0.19992595335061086,0.4998148833765272,0.13328396890040725,5.098111810440577,1.7225052531862115,94.0,10
Fran Garcia,Real Madrid,2025-2026,DF,929,1,1,2,1,14,1,0.0968783638320775,0.0968783638320775,0.0968783638320775,0.193756727664155,1.356297093649085,0.0968783638320775,2.71259418729817,1.5811470797758438,93.33333333333333,11
Alejandro Francés,Girona,2025-2026,DF,1116,0,2,2,0,23,1,0.0,0.16129032258064516,0.0,0.16129032258064516,1.8548387096774193,0.08064516129032258,1.9354838709677418,1.5517083805366703,92.66666666666666,12
Rubén,Espanyol,2025-2026,DF,812,0,1,1,0,12,2,0.0,0.11083743842364532,0.0,0.11083743842364532,1.3300492610837438,0.22167487684729065,3.9901477832512318,1.550603180673248,92.0,13
Álvaro Carreras,Real Madrid,2025-2026,DF,2332,2,3,5,2,33,5,0.07718696397941681,0.1157804459691252,0.07718696397941681,0.19296740994854203,1.2735849056603774,0.19296740994854203,1.1578044596912522,1.488113119443879,91.33333333333333,14
Yuri Berchiche,Athletic Club,2025-2026,DF,2705,0,6,6,0,34,3,0.0,0.19963031423290203,0.0,0.19963031423290203,1.131238447319778,0.09981515711645102,2.129390018484288,1.475721355555398,90.66666666666666,15
Allan Nyom,Getafe,2025-2026,DF,523,0,1,1,0,8,1,0.0,0.17208413001912046,0.0,0.17208413001912046,1.3766730401529637,0.17208413001912046,1.3766730401529637,1.4524326526800853,90.0,16
Carlos Romero,Espanyol,2025-2026,DF,3191,6,3,9,6,19,1,0.16922594797869006,0.08461297398934503,0.16922594797869006,0.2538389219680351,0.5358821685991852,0.02820432466311501,2.510184895017236,1.2391211978841608,89.33333333333333,17
Johan Mojica,Mallorca,2025-2026,DF,2724,0,4,4,0,30,2,0.0,0.13215859030837004,0.0,0.13215859030837004,0.9911894273127754,0.06607929515418502,4.394273127753304,1.174745000661411,88.66666666666667,18
Adrià Pedrosa,Elche,2025-2026,DF,1090,1,1,2,1,8,1,0.08256880733944955,0.08256880733944955,0.08256880733944955,0.1651376146788991,0.6605504587155964,0.08256880733944955,4.2110091743119265,1.1490873622803368,88.0,19
Carmona,Sevilla,2025-2026,DF,2565,1,3,4,1,44,3,0.03508771929824561,0.10526315789473684,0.03508771929824561,0.14035087719298245,1.543859649122807,0.10526315789473684,1.6842105263157894,1.1490151659739898,87.33333333333333,20
Hugo Rincón,Girona,2025-2026,DF,1750,1,1,2,1,53,1,0.051428571428571435,0.051428571428571435,0.051428571428571435,0.10285714285714287,2.137209048702207,0.051428571428571435,1.8,1.0979597381464667,86.66666666666667,21
Javi Galán,Osasuna,2025-2026,DF,1672,0,1,1,0,37,0,0.0,0.053827751196172245,0.0,0.053827751196172245,1.991626794258373,0.0,4.629186602870813,1.0641340994426511,86.0,22
Iglesias,Getafe,2025-2026,DF,3185,1,2,3,1,70,1,0.0282574568288854,0.0565149136577708,0.0282574568288854,0.08477237048665621,1.978021978021978,0.0282574568288854,3.0518053375196237,1.0491654312447343,85.33333333333334,23
Abdel Abqar,Getafe,2025-2026,DF,1437,0,2,2,0,36,1,0.0,0.12526096033402923,0.0,0.12526096033402923,2.137209048702207,0.06263048016701461,0.12526096033402923,1.0412618773223217,84.66666666666667,24
Álex Moreno,Girona,2025-2026,DF,2559,0,3,3,0,20,9,0.0,0.10550996483001172,0.0,0.10550996483001172,0.7033997655334114,0.31652989449003516,2.321219226260258,1.0112919103162548,84.0,25
Héctor Bellerín,Real Betis,2025-2026,DF,1822,2,3,5,2,4,2,0.09879253567508234,0.1481888035126235,0.09879253567508234,0.24698133918770582,0.19758507135016468,0.09879253567508234,1.4324917672886939,1.0049293661316154,83.33333333333334,26
Arnau Martinez,Girona,2025-2026,DF,2666,2,3,5,2,30,3,0.06751687921980495,0.10127531882970742,0.06751687921980495,0.16879219804951237,1.0127531882970742,0.10127531882970742,1.6879219804951238,0.9876464277144258,82.66666666666667,27
Andrei Ratiu,Rayo Vallecano,2025-2026,DF,2807,0,4,4,0,21,4,0.0,0.1282508015675098,0.0,0.1282508015675098,0.6733167082294265,0.1282508015675098,3.366583541147132,0.892568960092668,82.0,28
Éder Militão,Real Madrid,2025-2026,DF,1139,2,1,3,2,13,0,0.15803336259877085,0.07901668129938542,0.15803336259877085,0.2370500438981563,1.0272168568920106,0.0,0.07901668129938542,0.892068702441862,81.33333333333333,29
Marcos Llorente,Atlético Madrid,2025-2026,DF,2181,0,4,4,0,11,4,0.0,0.16506189821182943,0.0,0.16506189821182943,0.4539202200825309,0.16506189821182943,2.0220082530949104,0.886452866788044,80.66666666666666,30
Pep Chavarría,Rayo Vallecano,2025-2026,DF,2682,1,2,3,1,35,3,0.03355704697986577,0.06711409395973154,0.03355704697986577,0.10067114093959731,1.174496644295302,0.10067114093959731,3.187919463087248,0.8555521885844024,80.0,31
