player_name,team,season,Primary_Position,minutes_played,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_misc_Fld,Performance_misc_Off,Gls90,Ast90,G_minus_PK90,G_plus_A_minus_PK90,Fld90,Off90,Crosses90,PCA_raw,Offensive_Score,Rank
Orri Steinn Óskarsson,Real Sociedad,2025-2026,FW,835,9,0,9,9,7,13,0.9074545023074281,0.0,0.8303173251412287,0.8826804406454265,0.7544910179640718,1.401197604790419,0.5389221556886227,2.2649591745142095,100.0,1
Kylian Mbappé,Real Madrid,2025-2026,FW,2599,25,5,30,17,36,39,0.8657175836860331,0.17314351673720663,0.5886879569065026,0.7618314736437092,1.2466333205078877,1.3505194305502117,0.9003462870334744,1.9398776870930197,98.36065573770492,2
Robert Lewandowski,Barcelona,2025-2026,FW,1664,14,2,16,13,21,17,0.7572115384615385,0.10817307692307693,0.7031250000000001,0.811298076923077,1.1358173076923077,0.919471153846154,0.0,1.7922327616189464,96.72131147540983,3
Ferran Torres,Barcelona,2025-2026,FW,1965,16,2,18,16,20,12,0.732824427480916,0.0916030534351145,0.732824427480916,0.8244274809160306,0.9160305343511451,0.549618320610687,0.13740458015267176,1.572506473949229,95.08196721311475,4
Carlos Espí,Levante,2025-2026,FW,1343,11,0,11,11,25,10,0.7371556217423678,0.0,0.7371556217423678,0.7371556217423678,1.6753536857781086,0.6701414743112435,0.06701414743112434,1.361461545893437,93.44262295081968,5
Cédric Bakambu,Real Betis,2025-2026,FW,569,3,1,4,3,9,10,0.47451669595782076,0.15817223198594024,0.47451669595782076,0.632688927943761,1.4235500878734624,1.5817223198594026,0.3163444639718805,1.280087141789548,91.80327868852459,6
Georges Mikautadze,Villarreal,2025-2026,FW,2109,13,6,19,13,45,3,0.5547652916073968,0.25604551920341395,0.5547652916073968,0.8108108108108109,1.9203413940256044,0.12802275960170698,0.8961593172119487,1.0983217948467043,90.1639344262295,7
Borja Iglesias,Celta Vigo,2025-2026,FW,1900,14,2,16,10,30,22,0.6631578947368422,0.09473684210526316,0.4736842105263158,0.5684210526315789,1.4210526315789473,1.0421052631578946,0.14210526315789473,0.9989645895908733,88.52459016393442,8
Raúl,Osasuna,2025-2026,FW,1041,7,1,8,7,15,7,0.6051873198847262,0.08645533141210375,0.6051873198847262,0.69164265129683,1.2968299711815563,0.6051873198847262,0.7780979827089337,0.9867821098535037,86.88524590163934,9
Umar Sadiq,Valencia,2025-2026,FW,911,4,2,6,4,19,13,0.39517014270032935,0.19758507135016468,0.39517014270032935,0.592755214050494,1.8770581778265643,1.2843029637760703,0.49396267837541163,0.9084779488813274,85.24590163934425,10
Williot Swedberg,Celta Vigo,2025-2026,FW,1270,5,5,10,5,34,6,0.35433070866141736,0.35433070866141736,0.35433070866141736,0.7086614173228347,2.409448818897638,0.4251968503937008,0.5669291338582677,0.8077926784167144,83.60655737704919,11
Ferran Jutglà,Celta Vigo,2025-2026,FW,1652,9,3,12,9,30,10,0.49031476997578693,0.16343825665859565,0.49031476997578693,0.6537530266343826,1.6343825665859566,0.5447941888619855,1.0351089588377724,0.7165929479997939,81.9672131147541,12
Sergio Camello,Rayo Vallecano,2025-2026,FW,823,5,1,6,5,14,2,0.5467800729040098,0.10935601458080195,0.5467800729040098,0.6561360874848117,1.5309842041312274,0.2187120291616039,0.32806804374240583,0.6612306542039565,80.32786885245902,13
Akor Adams,Sevilla,2025-2026,FW,2064,10,3,13,7,12,41,0.436046511627907,0.1308139534883721,0.30523255813953487,0.436046511627907,0.5454019106436361,1.6641496709854087,0.7412790697674418,0.6106668527217316,78.68852459016394,14
Ayoze Pérez,Villarreal,2025-2026,FW,1124,5,4,9,4,23,5,0.400355871886121,0.3202846975088968,0.3202846975088968,0.6405693950177936,1.8416370106761566,0.400355871886121,0.7206405693950177,0.5993866664741139,77.04918032786885,15
Alexander Sørloth,Atlético Madrid,2025-2026,FW,1980,13,0,13,13,16,11,0.5909090909090909,0.0,0.5909090909090909,0.5909090909090909,0.7272727272727273,0.5,0.45454545454545453,0.5937583046390629,75.40983606557377,16
Vedat Muriqi,Mallorca,2025-2026,FW,3128,23,1,24,18,64,15,0.661764705882353,0.028772378516624043,0.5179028132992328,0.5466751918158568,1.8414322250639388,0.43158567774936063,0.17263427109974425,0.5693558829048818,73.77049180327869,17
Gonzalo García,Real Madrid,2025-2026,FW,964,6,1,7,6,6,0,0.5601659751037344,0.09336099585062241,0.5601659751037344,0.6535269709543569,0.5601659751037344,0.0,0.2800829875518672,0.528199371917615,72.1311475409836,18
Antoine Griezmann,Atlético Madrid,2025-2026,FW,1481,7,4,11,7,10,15,0.42538825118163404,0.24307900067521945,0.42538825118163404,0.6684672518568535,0.6076975016880486,0.9115462525320729,4.861580013504389,0.48463957983525374,70.49180327868852,19
Kiké,Espanyol,2025-2026,FW,1734,8,1,9,7,44,26,0.4152249134948097,0.051903114186851215,0.3633217993079585,0.4152249134948097,2.283737024221453,1.3494809688581315,0.8823529411764707,0.33136392148497945,68.85245901639344,20
Ademola Lookman,Atlético Madrid,2025-2026,FW,617,4,0,4,3,10,7,0.5834683954619125,0.0,0.4376012965964344,0.4376012965964344,1.4586709886547813,1.0210696920583469,1.7504051863857375,0.2808304985441241,67.21311475409836,21
Toni Martínez,Alavés,2025-2026,FW,2714,14,3,17,13,37,13,0.4642593957258659,0.09948415622697127,0.43109801031687545,0.5305821665438467,1.2269712601326455,0.43109801031687545,0.4642593957258659,0.2772869247657975,65.57377049180327,22
Vinicius Júnior,Real Madrid,2025-2026,FW,2815,16,5,21,12,81,13,0.5115452930728241,0.15985790408525755,0.3836589698046181,0.5435168738898757,2.589698046181172,0.4156305506216696,2.0142095914742453,0.2453897842083141,63.934426229508205,23
Gerard Moreno,Villarreal,2025-2026,FW,1343,10,0,10,7,16,6,0.6701414743112435,0.0,0.46909903201787045,0.46909903201787045,1.0722263588979895,0.40208488458674607,0.7371556217423678,0.23920440543999089,62.295081967213115,24
Álvaro Rodríguez,Elche,2025-2026,FW,2201,7,5,12,7,49,18,0.2862335302135393,0.2044525215810995,0.2862335302135393,0.4906860517946388,2.003634711494775,0.7360290776919582,0.408905043162199,0.18390092666941601,60.65573770491803,25
Karl Etta Eyong,Levante,2025-2026,FW,1416,6,2,8,6,30,6,0.38135593220338987,0.1271186440677966,0.38135593220338987,0.5084745762711864,1.9067796610169492,0.38135593220338987,0.826271186440678,0.07115134324133665,59.01639344262295,26
Borja Mayoral,Getafe,2025-2026,FW,1058,4,1,5,4,7,11,0.34026465028355385,0.08506616257088846,0.34026465028355385,0.4253308128544423,0.5954631379962192,0.9357277882797731,0.5103969754253308,0.06956631291241064,57.377049180327866,27
Cucho,Real Betis,2025-2026,FW,2580,11,3,14,10,38,17,0.3837209302325581,0.10465116279069767,0.3488372093023256,0.45348837209302323,1.3255813953488371,0.5930232558139534,0.8023255813953488,0.006414694916998925,55.73770491803278,28
Gorka Guruzeta,Athletic Club,2025-2026,FW,2363,10,3,13,9,30,11,0.3808717731696995,0.11426153195090985,0.3427845958527296,0.4570461278036394,1.1426153195090987,0.4189589504866695,0.2666102412187897,-0.022808518709098217,54.09836065573771,29
Lucas Boyé,Alavés,2025-2026,FW,1958,11,1,12,8,39,10,0.5056179775280899,0.045965270684371805,0.36772216547497444,0.4136874361593463,1.7926455566905004,0.45965270684371806,0.45965270684371806,-0.024877512789392705,52.459016393442624,30
Tani Oluwaseyi,Villarreal,2025-2026,FW,901,2,2,4,2,8,10,0.1997780244173141,0.1997780244173141,0.1997780244173141,0.3995560488346282,0.7991120976692564,0.9988901220865705,0.29966703662597116,-0.060159711443040054,50.81967213114754,31
Mikel Oyarzabal,Real Sociedad,2025-2026,FW,2710,15,4,19,8,42,14,0.4981549815498155,0.13284132841328414,0.2656826568265683,0.3985239852398524,1.3948339483394834,0.4649446494464945,0.6974169741697417,-0.07158015881587165,49.18032786885246,32
Ante Budimir,Osasuna,2025-2026,FW,2938,17,0,17,11,36,22,0.5207624234172906,0.0,0.3369639210347175,0.3369639210347175,1.1027910142954391,0.673927842069435,0.12253233492171545,-0.11709119627194717,47.540983606557376,33
