player_name,team,season,Primary_Position,minutes_played,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_misc_Fld,Performance_misc_Off,Gls90,Ast90,G_minus_PK90,G_plus_A_minus_PK90,Fld90,Off90,Crosses90,PCA_raw,Offensive_Score,Rank
Lamine Yamal,Barcelona,2025-2026,MF,2262,16,11,27,13,52,14,0.4674518182873417,0.4376657824933687,0.42877212885523636,0.7780530962539155,2.0689655172413794,0.5570291777188329,3.063660477453581,3.1340821398337253,100.0,1
Marcus Rashford,Barcelona,2025-2026,MF,1763,8,7,15,8,25,10,0.40839478162223486,0.3573454339194555,0.40839478162223486,0.7657402155416904,1.276233692569484,0.5104934770277936,6.176971072036302,3.0975525947096645,99.46236559139786,2
Gonçalo Guedes,Real Sociedad,2025-2026,MF,1823,8,4,12,8,33,13,0.3949533735600658,0.1974766867800329,0.3949533735600658,0.5924300603400987,1.6291826659352715,0.6417992320351069,3.455842018650576,2.4793911360618415,98.9247311827957,3
Carlos Vicente,Alavés,2025-2026,MF,1258,5,0,5,2,42,10,0.35771065182829886,0.0,0.14308426073131955,0.14308426073131955,3.0047694753577106,0.7154213036565977,9.075154681855388,2.3083006917157274,98.38709677419355,4
Raphinha,Barcelona,2025-2026,MF,1380,13,3,16,10,10,4,0.4674518182873417,0.19565217391304346,0.42877212885523636,0.7780530962539155,0.6521739130434783,0.2608695652173913,4.695652173913043,2.2296228688002917,97.84946236559139,5
Abde Ezzalzouli,Real Betis,2025-2026,MF,2247,10,8,18,10,71,4,0.4005340453938585,0.3204272363150868,0.4005340453938585,0.7209612817089454,2.8437917222963955,0.1602136181575434,2.202937249666222,2.051818627844169,97.31182795698925,6
Nicolas Pépé,Villarreal,2025-2026,MF,2393,8,8,16,7,43,14,0.30087755954868367,0.30087755954868367,0.2632678646050982,0.5641454241537819,1.6172168825741746,0.5265357292101964,2.6702883409945675,1.95276472238296,96.7741935483871,7
Fermin López,Barcelona,2025-2026,MF,1797,6,9,15,6,20,5,0.3005008347245409,0.4421536914849924,0.3005008347245409,0.7512520868113524,1.001669449081803,0.25041736227045075,1.8030050083472455,1.7710734581116625,96.23655913978494,8
Roberto Navarro,Athletic Club,2025-2026,MF,1307,6,1,7,6,16,4,0.4131599081866871,0.06885998469778118,0.4131599081866871,0.4820198928844682,1.1017597551644989,0.2754399387911247,5.095638867635807,1.7049336784780087,95.6989247311828,9
Pablo Fornals,Real Betis,2025-2026,MF,2848,9,6,15,9,26,13,0.28441011235955055,0.1896067415730337,0.28441011235955055,0.47401685393258425,0.821629213483146,0.410814606741573,4.424157303370786,1.5856563867590303,95.16129032258065,10
Dani Olmo,Barcelona,2025-2026,MF,2067,7,8,15,7,42,6,0.30478955007256897,0.34833091436865027,0.30478955007256897,0.6531204644412192,1.8287373004354137,0.2612481857764877,1.2191582002902759,1.5833838111597203,94.6236559139785,11
Arda Güler,Real Madrid,2025-2026,MF,2014,4,9,13,4,32,3,0.17874875868917578,0.4021847070506455,0.17874875868917578,0.5809334657398213,1.4299900695134062,0.13406156901688185,5.7646474677259185,1.5542988682623382,94.08602150537635,12
Nico Williams,Athletic Club,2025-2026,MF,1674,6,3,9,5,29,7,0.3225806451612903,0.16129032258064516,0.26881720430107525,0.4301075268817204,1.5591397849462365,0.3763440860215054,4.086021505376344,1.5348371158650167,93.54838709677419,13
Takefusa Kubo,Real Sociedad,2025-2026,MF,1503,2,4,6,2,51,11,0.11976047904191617,0.23952095808383234,0.11976047904191617,0.3592814371257485,3.0538922155688626,0.6586826347305389,2.3353293413173652,1.5185367277135682,93.01075268817203,14
Álex Baena,Atlético Madrid,2025-2026,MF,1560,2,3,5,2,29,9,0.11538461538461539,0.1730769230769231,0.11538461538461539,0.2884615384615385,1.6730769230769231,0.5192307692307693,6.750000000000001,1.4670589223884203,92.47311827956989,15
Ruben Vargas,Sevilla,2025-2026,MF,1594,3,6,9,2,17,7,0.16938519447929737,0.33877038895859474,0.11292346298619824,0.45169385194479295,0.959849435382685,0.3952321204516938,5.0815558343789204,1.4484943931629433,91.93548387096774,16
Álvaro García,Rayo Vallecano,2025-2026,MF,2101,4,5,9,4,12,15,0.17134697762970014,0.21418372203712518,0.17134697762970014,0.3855306996668253,0.5140409328891005,0.6425511661113755,3.8981437410756783,1.4403863275165738,91.39784946236558,17
Álex Sancris,Getafe,2025-2026,MF,708,0,1,1,0,12,8,0.0,0.1271186440677966,0.0,0.1271186440677966,1.5254237288135595,0.8206646436237154,7.5,1.4374514792317978,90.86021505376344,18
Josan,Elche,2025-2026,MF,565,0,3,3,0,6,1,0.0,0.4421536914849924,0.0,0.4778761061946903,0.9557522123893806,0.1592920353982301,9.075154681855388,1.3764266535903222,90.32258064516128,19
Brais Méndez,Real Sociedad,2025-2026,MF,1660,6,2,8,5,35,7,0.32530120481927716,0.10843373493975905,0.27108433734939763,0.3795180722891567,1.8975903614457832,0.3795180722891567,3.3614457831325306,1.3527253288496492,89.78494623655914,20
