player_name,team,league,season,position_group,age,minutes_played,matches_played,contract_years_left,age_squared,assists_p90,crosses_p90,foot,fouls_committed_p90,fouls_drawn_p90,goals_p90,height_cm,interceptions_p90,penalties_scored,starts_ratio,tackles_p90,team_points,team_position,xa_p90,xg_p90,yellow_cards_p90,market_value_eur,pred_general_eur,residuo_general,pred_scouting_eur,residuo_scouting
Ibrahim Diabaté,Alavés,ESP,2025-2026,Delantero,25.0,578,10.0,3.0006844626967832,625.0,0.0,0.0,,0.9342560553633218,0.7785467128027682,0.31141868512110726,,0.31141868512110726,0.0,0.6,0.15570934256055363,43,14,0.02304463002792073,0.4246241232270704,0.15570934256055363,50000.0,4055868.3020491,0.012327816456648525,5144215.886396767,0.009719654288269418
Al-Musrati,Hellas Verona,ITA,2025-2026,Centrocampista,29.0,844,18.0,,841.0,0.1066350710900474,0.2132701421800948,,1.599526066350711,0.31990521327014215,0.0,,1.1729857819905212,0.0,0.4444444444444444,0.7464454976303319,21,19,,,0.6398104265402843,75000.0,1556197.9474109334,0.04819438306340043,2772757.7786898986,0.02704888273199139
Víctor García,Levante,ESP,2025-2026,Centrocampista,27.0,1040,21.0,2.001368925393566,729.0,0.08653846153846154,5.625,right,1.125,0.951923076923077,0.17307692307692307,178.0,0.6057692307692308,0.0,0.5714285714285714,1.2980769230769231,42,18,0.15282089736026067,0.16509927796701399,0.08653846153846154,200000.0,2517509.8240359616,0.07944358273818719,4919332.485225194,0.04065592244490149
Pablo,West Ham,ENG,2025-2026,Centrocampista,21.0,823,14.0,,441.0,0.10935601458080194,0.5467800729040098,right,2.5151883353584448,0.8748481166464155,0.0,188.0,0.5467800729040098,0.0,0.7142857142857143,1.5309842041312272,39,18,0.14137233152560083,0.15566407172133825,0.0,350000.0,12270065.8475328,0.028524704296544273,7356895.841515545,0.04757441284201991
Josan,Elche,ESP,2025-2026,Centrocampista,35.0,565,19.0,0.999315537303217,1225.0,0.47787610619469023,11.469026548672566,right,0.7964601769911505,0.9557522123893805,0.0,176.0,0.9557522123893805,0.0,0.21052631578947367,1.2743362831858407,43,13,0.46472620443168994,0.04440594154649077,0.3185840707964602,100000.0,482016.66271396895,0.2074617077280179,1837989.104392311,0.054407286616131874
Joshua King,Fulham,ENG,2025-2026,Centrocampista,18.0,1308,32.0,0.999315537303217,324.0,0.13761467889908258,0.8256880733944955,right,0.8944954128440367,2.064220183486239,0.06880733944954129,187.0,0.20642201834862386,0.0,0.46875,0.8256880733944955,52,11,0.07152965785764637,0.26144085588668464,0.27522935779816515,1200000.0,36688691.31467668,0.03270762616490386,13152319.950263262,0.09123865633879902
Stefan Schimmer,Heidenheim,GER,2025-2026,Delantero,31.0,820,27.0,0.999315537303217,961.0,0.10975609756097561,1.0975609756097562,right,1.4268292682926829,0.5487804878048781,0.5487804878048781,185.0,0.43902439024390244,0.0,0.1111111111111111,0.43902439024390244,26,17,0.18122157393159663,0.6492295735856382,0.10975609756097561,300000.0,872943.3942574991,0.34366489508196746,2857422.8316866583,0.10498971194365317
Joel Mvuka,Lorient,FRA,2025-2026,Centrocampista,22.0,560,15.0,4.0,484.0,0.0,1.9285714285714286,right,0.6428571428571428,1.7678571428571428,0.0,176.0,0.9642857142857143,0.0,0.3333333333333333,2.0892857142857144,45,9,0.16227907058782876,0.1120978394589786,0.0,1500000.0,5907484.327143522,0.2539151890945944,13386849.503166448,0.11205026243442855
Julian Niehues,Heidenheim,GER,2025-2026,Centrocampista,24.0,1383,24.0,0.999315537303217,576.0,0.0,0.19522776572668113,right,0.6507592190889371,0.5856832971800434,0.19522776572668113,195.0,1.4967462039045554,0.0,0.7083333333333334,0.6507592190889371,26,17,0.04741270547639781,0.13654203600615844,0.0650759219088937,1500000.0,4698887.844114643,0.31922447391008707,13346357.39553951,0.11239021671196334
Ibou Sané,Metz,FRA,2025-2026,Delantero,20.0,541,16.0,2.001368925393566,400.0,0.16635859519408502,2.3290203327171906,right,1.497227356746765,2.4953789279112755,0.16635859519408502,179.0,0.16635859519408502,0.0,0.3125,0.49907578558225507,17,18,0.15696788396059697,0.055170149616415094,0.33271719038817005,900000.0,2182396.6059569414,0.4123906706706805,7800502.644381162,0.11537718029597563
